,placename,hotel_name,hotel_bookingdotcom_page,user_rating,hotel_lat,hotel_lon,hotel_description,place_id,POI_lon,POI_lat,mean_max_temp_over_next_7_days,mean_cloud_cover_over_next_7_days,mean_POP_over_next_7_days,bad_weather_score
0,Mont Saint Michel,Hôtel Vert,https://www.booking.com/hotel/fr/vert.fr.html,8.1,48.61470048629041,-1.5096169710159302,"L’Hotel Vert vous propose des chambres décorées dans des tons pastel, dotées d’une salle de bains privative, d’une télévision ainsi que d’une connexion Wi-Fi gratuite. ",msm,-1.51146,48.6359541,18.332500000000003,51.875,18.332500000000003,36.366388888888885
1,Mont Saint Michel,Le Relais Saint Michel,https://www.booking.com/hotel/fr/le-relais-saint-michel.fr.html,8.2,48.6175872716489,-1.51039615273476,Le Relais Saint Michel vous accueille face à la baie du Mont-Saint-Michel. ,msm,-1.51146,48.6359541,18.332500000000003,51.875,18.332500000000003,36.366388888888885
2,Mont Saint Michel,Hotel Gabriel,https://www.booking.com/hotel/fr/hotel-gabriel.fr.html,8.3,48.61538141368341,-1.510709971189499,Hotel Gabriel is located 1.6 Km from Mont Saint-Michel. It offers free Wi-Fi access and en suite rooms just a 25-minute walk from the walls of the old city. ,msm,-1.51146,48.6359541,18.332500000000003,51.875,18.332500000000003,36.366388888888885
3,Mont Saint Michel,Mercure Mont Saint Michel,https://www.booking.com/hotel/fr/mont-saint-michel.fr.html,8.3,48.61424652959294,-1.510545015335083,"Installé dans des espaces verts à seulement 2 km de l'abbaye du Mont-Saint-Michel, le Mercure Mont Saint Michel propose des chambres spacieuses avec salle de bains privative, un bar-restaurant et de...",msm,-1.51146,48.6359541,18.332500000000003,51.875,18.332500000000003,36.366388888888885
4,Mont Saint Michel,Le Relais Du Roy,https://www.booking.com/hotel/fr/le-relais-du-roy.fr.html,8.3,48.61626270451236,-1.510905772447586,"Le Relais Du Roy est un hôtel 3 étoiles situé au bord du Couesnon, à seulement 1,5 km du Mont Saint-Michel et à 50 mètres de la navette gratuite. ",msm,-1.51146,48.6359541,18.332500000000003,51.875,18.332500000000003,36.366388888888885
5,Mont Saint Michel,Le Saint Aubert,https://www.booking.com/hotel/fr/hotel-saint-aubert.fr.html,7.6,48.612937834706464,-1.5101051330566406,"Niché dans un écrin de verdure, à seulement 2 km du Mont-Saint-Michel, Le Saint Aubert vous accueille dans un cadre chaleureux et convivial. ",msm,-1.51146,48.6359541,18.332500000000003,51.875,18.332500000000003,36.366388888888885
6,Mont Saint Michel,Les Terrasses Poulard,https://www.booking.com/hotel/fr/les-terrasses-poulard.fr.html,7.3,48.63534942564122,-1.5103787183761597,"Occupant 2 bâtiments différents au cœur du Mont-Saint-Michel, l’établissement historique Les Terrasses Poulard propose des hébergements avec une vue sur la baie, le village et la rue. ",msm,-1.51146,48.6359541,18.332500000000003,51.875,18.332500000000003,36.366388888888885
7,Mont Saint Michel,La Mère Poulard,https://www.booking.com/hotel/fr/la-mere-poulard.fr.html,7.6,48.63508531723403,-1.5105396509170532,"Séjournez dans un hôtel historique au cœur du Mont Saint-Michel. L'Hôtel La Mère Poulard, situé au cœur du Mont Saint-Michel, a conservé le charme authentique des auberges traditionnelles d'autrefois....",msm,-1.51146,48.6359541,18.332500000000003,51.875,18.332500000000003,36.366388888888885
8,Mont Saint Michel,Le Mouton Blanc,https://www.booking.com/hotel/fr/le-mouton-blanc-le-mont-saint-michel.fr.html,7.2,48.63602298444712,-1.509895920753479,"Situé au pied de l’abbaye, l’hôtel Le Mouton Blanc vous accueille dans son bâtiment historique datant du XIVe siècle. Il propose des chambres confortables à la décoration simple et chaleureuse. ",msm,-1.51146,48.6359541,18.332500000000003,51.875,18.332500000000003,36.366388888888885
9,Mont Saint Michel,Appart Standing - La Coque d'Or,https://www.booking.com/hotel/fr/la-coque-d-or.fr.html,9.6,48.6354874,-1.5101555,"L’hébergement Appart Standing - La Coque d'Or vous accueille au Mont-Saint-Michel, à respectivement 200 mètres, quelques pas et 29 km de ces lieux d’intérêt : Abbaye du Mont Saint Michel, Mont...",msm,-1.51146,48.6359541,18.332500000000003,51.875,18.332500000000003,36.366388888888885
